# Pore network output format: 
num_nodes & num_node_metrics ; names of columns ; [num_nodes x num_node_metrics] array; num_edges & num_edge_metrics ; names of columns ; [num_edges x num_edge_metrics] array
6130 5
x y z void_volume solid_volume surface location n_cells
238.795 275.805 295.763	407	755	224.306	middle	1
116.558 166.175 191.65	296	692	207.451	middle	1
109.435 258.195 160.325	580	620	188.429	middle	1
131.29 301.778 120.245	260	683	220.587	top	1
179.808 194.865 254.055	344	574	171.684	middle	1
188.157 157.308 286.007	242	738	220.14	middle	1
285.587 241.405 277.712	375	539	163.836	middle	1
245.945 263.577 141.502	484	610	183.382	middle	1
113.52 160.735 198.435	452	724	220.583	middle	1
201.585 147.165 109.774	371	626	202.485	middle	1
253.97 212.37 182.16	356	725	217.938	middle	1
156.502 144.06 234.587	279	444	132.317	middle	1
168.792 171.378 302.623	381	660	220.407	middle	1
232.207 295.985 280.575	458	642	193.625	top	1
252.473 209.578 280.678	401	715	214.529	middle	1
143.803 105.846 250.395	248	516	214.008	bottom	1
191.03 162.707 216.857	436	439	129.845	middle	1
155.023 136.387 232.337	569	702	208.566	middle	1
187.115 143.743 302.045	363	592	183.187	middle	1
145.653 143.162 273.43	423	751	220.339	middle	1
186.772 153.318 179.702	1721	2003	601.647	middle	3
171.083 161.336 197.499	4380	4368	1311.46	middle	6
303.277 194.652 299.67	430	615	205.488	middle	1
201.433 152.175 264.41	332	707	212.441	middle	1
254.925 275.015 137.467	282	394	116.691	middle	1
289.565 295.298 169.593	420	450	134.58	top	1
176.065 186.855 294.765	353	686	204.181	middle	1
170.875 162.803 215.255	517	679	204.48	middle	1
120.62 288.012 146.85	1213	1489	441.131	top	2
194.578 145.797 254.847	468	728	217.751	middle	1
134.576 147.806 256.026	1278	1434	432.018	middle	2
193.943 231.158 216.535	6016	5458	1635.26	middle	10
147.377 113.312 180.498	291	722	215.641	middle	1
120.42 190.45 143.275	270	727	218.553	middle	1
108.931 167.223 186.595	276	686	219.134	middle	1
150.317 177.808 131.338	519	756	225.429	middle	1
115.17 228.945 278.683	275	735	220.303	middle	1
137.147 274.815 179.953	353	533	160.169	middle	1
108.325 222.4 273.39	358	494	178.684	middle	1
171.74 306.328 181.408	734	878	311.69	top	2
165.028 175.865 233.72	326	683	204.871	middle	1
148.011 221.883 211.179	2542	2369	706.214	middle	4
188.315 185.222 108.618	367	720	221.148	middle	1
261.163 276.777 137.512	353	590	176.535	middle	1
168.847 146.38 226.107	353	725	217.716	middle	1
154.565 181.875 264.962	579	735	220.178	middle	1
156.417 223.05 202.132	372	723	217.707	middle	1
284.12 231.801 191.186	3326	3694	1106.58	middle	5
288.56 247.73 171.935	365	654	198.469	middle	1
114.832 282.762 126.885	490	712	209.534	middle	1
156.257 196.155 234.67	401	745	220.394	middle	1
194.585 162.887 251.173	410	633	189.275	middle	1
191.97 240.847 264.562	612	749	226.159	middle	1
178.642 247.942 131.982	342	729	219.754	middle	1
131.398 144.945 280.915	411	726	217.443	middle	1
163.5 152.327 197.695	300	625	187.545	middle	1
215.157 247.912 240.882	398	702	214.234	middle	1
190.23 287.288 269.305	267	737	219.006	middle	1
218.127 223.835 268.712	360	708	215.884	middle	1
279.077 253.642 232.005	288	712	212.538	middle	1
267.577 285.622 125.66	1874	2133	639.446	top	3
172.06 231.075 284.605	431	714	214.517	middle	1
109.992 169.678 239.716	1442	1375	461.175	middle	2
123.27 279.838 304.14	133	189	60.0545	middle	1
155.806 162.705 282.918	8933	8347	2500.14	middle	13
180.235 215.61 226.81	417	698	209.918	middle	1
109.78 211.137 258.69	486	658	216.755	middle	1
148.104 247.654 280.918	1204	1386	413.678	middle	2
149.575 163.453 255.668	481	704	208.182	middle	1
173.775 142.637 282.935	428	720	215.62	middle	1
143.502 144.045 260.7	396	745	221.931	middle	1
123.568 116.227 279.823	2310	2248	669.565	bottom	3
129.972 201.458 240.798	1908	2060	624.907	middle	3
249.135 298 130.067	1028	759	226.664	top	1
144.885 286.125 124.562	363	727	216.805	middle	1
138.905 140.042 278.745	497	663	200.564	middle	1
105.893 161.782 193.38	441	636	220.377	middle	1
109.045 185.887 267.208	571	682	204.64	middle	1
170.055 230.02 243.188	327	723	218.167	middle	1
267.222 233.088 173.846	6402	5717	1711.17	middle	8
295.892 279.332 207.87	230	332	98.0772	middle	1
183.575 213.475 239.017	60	66	20.4101	middle	1
206.112 276.902 164.237	1670	1603	478.94	middle	3
174.078 138.855 290.545	474	724	214.865	middle	1
207.847 265.515 174.465	482	740	220.053	middle	1
122.132 254.298 224.487	263	399	119.265	middle	1
136.1 286.563 249.62	1790	2256	673.674	middle	3
133.653 200.853 174.865	302	493	131.082	middle	1
251.77 292.75 108.691	319	601	205.923	middle	1
163.02 304.07 228.397	420	649	222.829	top	1
138.308 199.23 202.912	394	739	222.476	middle	1
134.412 295.887 215.637	404	735	220.515	top	1
156.137 213.722 155.988	65	86	26.8741	middle	1
141.265 203.605 281.395	450	728	217.169	middle	1
130.993 245.845 255.875	412	727	217.56	middle	1
159.25 239.138 120.277	304	490	147.111	middle	1
175.755 184.74 141.785	585	702	208.432	middle	1
292.18 226.875 191.137	348	381	111.376	middle	1
186.363 126.605 199.757	293	668	199.7	middle	1
142.105 231.078 238.933	633	625	186.235	middle	1
187.373 264.08 218.632	403	728	219.993	middle	1
116.752 249.55 187.358	304	732	220.765	middle	1
162.79 135.942 230.688	477	687	208.801	middle	1
161.245 298.882 149	371	710	211.816	top	1
127.705 235.445 208.06	604	682	206.615	middle	1
153.097 285.515 232.423	382	723	216.893	middle	1
154.757 121.412 273.783	324	593	177.347	bottom	1
172.912 282.375 222.13	392	620	186.844	middle	1
192.892 136.152 298.295	321	447	131.964	middle	1
138.273 195.127 211.782	318	733	218.941	middle	1
186.662 264.07 192.097	423	726	217.355	middle	1
292.76 255.02 132.393	478	570	169.548	middle	1
232.67 286.915 246.138	343	712	214.117	middle	1
166.907 263.867 189.158	1752	1794	542.214	middle	3
122.12 269.894 203.571	2600	2437	733.465	middle	4
187.997 230.356 139.661	3091	3081	927.189	middle	6
152.325 175.192 152.228	383	731	219.979	middle	1
207.895 165.475 243.518	587	764	225.055	middle	1
300.805 291.012 147.295	288	500	168.856	middle	1
118.11 204.268 251.438	397	738	217.988	middle	1
112.097 267.645 158.365	398	745	224.851	middle	1
116.185 249.933 289.48	267	730	219.31	middle	1
165.555 262.882 235.16	514	736	225.216	middle	1
122.085 292.707 164.115	292	631	191.538	top	1
124.425 247.32 164.815	640	751	224.4	middle	1
186.182 252.3 272.275	335	720	214.784	middle	1
140.507 265.952 117.905	393	637	189.674	middle	1
152.73 260.938 152.808	406	753	221.465	middle	1
182.612 231.843 236.96	468	709	210.226	middle	1
114.213 237.45 202.118	454	706	211.458	middle	1
121.255 288.107 190.672	416	743	222.79	middle	1
112.907 288.452 233.752	819	661	200.431	middle	1
127.445 283.935 129.795	4279	3744	1117.83	top	6
105.358 250.364 158.122	690	1056	406.981	middle	2
165.585 157.683 110.781	410	363	117.913	middle	1
247.368 272.992 173.467	305	706	212.116	middle	1
190.51 225.832 126.22	326	682	204.8	middle	1
264.162 180.82 246.255	305	701	214.422	middle	1
160.5 174.065 173.215	435	599	178.455	middle	1
231.039 173.771 235.514	2918	3009	899.25	middle	4
117.568 244.498 114.896	970	921	275.764	middle	2
181.548 279.66 122.843	447	617	184.744	middle	1
299.63 272.993 165.195	329	695	211.47	middle	1
126.175 276.363 147.79	263	733	220.022	middle	1
176.92 149.075 123.752	231	598	180.859	middle	1
202.967 112.245 197.225	309	734	220.63	bottom	1
145.64 131.07 124.088	2531	3002	902.295	middle	5
129.395 109.574 126.39	422	707	225.612	bottom	1
125.755 171.062 114.885	390	655	194.908	middle	1
106.279 202.538 209.108	429	486	171	middle	1
118.782 292.97 268.362	322	703	211.287	middle	1
125.812 220.817 222.745	383	566	170.681	middle	1
122.37 211.495 233.065	220	736	220.51	middle	1
112.538 159.35 176.58	338	666	198.258	middle	1
118.75 125.84 118.463	387	748	220.989	middle	1
109.412 189.493 151.202	243	713	220.604	middle	1
118.018 223.39 170.013	339	722	215.953	middle	1
124.78 284.783 114.14	362	726	219.705	middle	1
110.552 219.808 217.99	361	666	215.463	middle	1
137.053 243.838 190.035	426	717	214.913	middle	1
126.17 256.197 164.627	560	745	225.459	middle	1
188.748 149.112 120.869	5950	5307	1583.65	middle	9
139.645 216.08 185.81	509	741	224.16	middle	1
184.529 250.434 176.047	3120	3392	1019.71	middle	5
142.56 178.657 171.457	307	735	220.826	middle	1
289.053 301.377 150.79	476	717	224.566	top	1
183.817 252.185 113.413	537	741	223.109	middle	1
201.062 292.788 129.288	519	749	223.847	middle	1
151.945 153.09 179.108	419	670	201.034	middle	1
295.998 138.752 141.688	222	373	109.905	middle	1
205.34 300.065 170.613	377	698	216.179	top	1
124.883 153.347 129.095	234	347	103.668	middle	1
125.365 242.832 208.12	422	736	225.074	middle	1
205.685 249.387 157.225	267	278	83.7296	middle	1
290.9 284.717 162.6	323	739	221.361	middle	1
148.893 268.753 145.004	2933	2963	885.989	middle	4
213.213 223.772 171.017	331	715	214.72	middle	1
223.743 219.952 301.707	343	695	219.469	middle	1
227.165 134.835 142.795	299	352	101.34	middle	1
193.005 111.103 133.488	651	713	219.128	bottom	1
291.495 213.627 194.537	361	743	222.727	middle	1
287.695 302.325 198.537	276	700	220.392	top	1
182.107 262.075 237.095	132	141	40.3735	middle	1
202.622 183.137 146.277	1888	2261	671.089	middle	3
144.577 228.407 134.993	407	733	220.305	middle	1
175.985 185.315 113.955	537	758	225.63	middle	1
174.105 162.965 127.207	249	743	220.269	middle	1
189.385 172.91 113.403	404	749	223.77	middle	1
211.507 296.703 119.24	409	738	221.467	top	1
212.793 276.848 166.918	357	636	194.592	middle	1
103.608 242.695 174.98	101	357	141.292	middle	1
299.635 137.685 162.165	466	415	136.998	middle	1
126.764 265.346 123.443	2304	2251	677.412	middle	4
172.48 181.343 177.398	383	728	219.4	middle	1
240.317 300.655 167.11	343	654	194.325	top	1
179.925 285.473 174.838	315	717	211.657	middle	1
234.455 291.51 220.443	306	476	141.291	middle	1
189.635 294.637 121.01	332	719	216.988	top	1
231.423 300.422 129.415	234	556	174.06	top	1
137.408 266.933 110.332	343	730	219.282	middle	1
158.192 237.295 112.455	350	734	220.313	middle	1
105.808 252.37 117.975	497	531	180.099	middle	1
111.228 196.84 123.95	504	713	217.037	middle	1
145.565 267.37 167.2	268	694	207.098	middle	1
120.053 203.393 171.85	315	696	208.695	middle	1
129.238 273.502 126.307	373	440	129.549	middle	1
138.235 272.21 184.657	225	332	98.4496	middle	1
145.51 275.073 194.42	4619	4842	1438.86	middle	8
149.338 260.83 189.317	414	752	224.54	middle	1
158.275 299.89 125.01	652	733	218.974	top	1
186.54 198.2 239.775	428	725	218.974	middle	1
210.907 294.065 132.787	268	458	138.321	top	1
237.652 266.6 157.17	1650	1550	461.582	middle	2
204.627 176.35 265.365	434	600	178.296	middle	1
183.175 141.512 160.275	332	692	204.601	middle	1
183.28 296.695 151.233	559	630	187.89	top	1
219.26 278.9 111.25	368	726	217.035	middle	1
190.7 280.257 111.466	431	686	211.127	middle	1
215.846 277.748 119.946	4356	4144	1235.43	middle	7
174.428 264.002 223.495	492	719	217.504	middle	1
191.743 209.287 288.752	332	720	216.18	middle	1
169.017 280.067 179.89	330	737	219.288	middle	1
168.514 263.88 156.644	1431	1508	446.31	middle	2
150.72 278.857 123.405	399	725	219.672	middle	1
201.54 294.023 156.252	340	736	219.83	top	1
182.653 290.123 268.322	346	643	192.915	middle	1
191.873 271.002 256.772	293	732	220.571	middle	1
177.515 243.025 178.438	456	683	205.979	middle	1
133.885 255.662 213.69	388	731	219.316	middle	1
179.945 232.295 260.705	355	490	148.297	middle	1
140.642 224.108 198.297	385	748	221.097	middle	1
262.655 184.508 110.34	644	538	167.537	middle	1
301.695 292.817 140.085	383	600	213.036	middle	1
198.488 130.81 300.002	363	737	219.294	middle	1
146.76 246.333 265.48	300	717	214.138	middle	1
259.018 258.184 131.094	1334	1439	429.728	middle	2
289.58 235.82 109.337	298	700	214.01	middle	1
259.33 293.285 169.423	314	515	153.757	top	1
231.748 293.998 115.325	359	733	219.564	middle	1
224.145 285.668 108.955	361	726	221.291	middle	1
193.673 239.683 132.4	339	658	196.241	middle	1
276.345 280.495 156.718	343	728	218.429	middle	1
194.528 259.838 159.756	1106	1512	448.193	middle	2
178.962 199.348 170.663	649	752	226.059	middle	1
209.809 219.797 184.779	2303	2789	829.531	middle	4
164.882 228.163 213.415	360	677	203.73	middle	1
266.38 111.507 142.822	487	724	217.306	bottom	1
228.16 250.817 136.53	683	691	207.893	middle	1
284.05 218.605 155.178	288	738	219.934	middle	1
132.933 292.608 119.317	443	739	221.564	top	1
251.657 290.4 118.242	291	736	214.837	top	1
249.414 270.734 131.783	2955	2810	835.219	middle	5
255.795 254.397 142.5	554	749	224.929	middle	1
287.535 235.387 116.54	340	676	203.32	middle	1
285.325 298.403 192.103	287	723	220.387	top	1
186.502 223.41 169.112	1295	1332	394.839	middle	2
251.453 217.69 142.726	2701	2866	854.766	middle	4
197.93 223.52 142.56	703	651	192.12	middle	1
243.285 148.137 158.83	531	749	225.058	middle	1
265.191 149.454 173.423	11472	10037	3017.47	middle	16
191.156 249.232 153.506	1236	1433	437.332	middle	2
180.617 255.442 120.142	583	671	200.804	middle	1
245.835 292.493 124.22	373	755	217.723	top	1
270.957 248.007 119.253	321	735	220.035	middle	1
203.243 197.91 121.832	137	190	58.6848	middle	1
213.645 179.902 176.468	451	689	206.976	middle	1
115.007 136.312 168.485	32	42	10.8163	middle	1
235.317 133.935 116.897	464	727	218.312	middle	1
143.952 178.085 127.505	554	709	211.852	middle	1
150.314 199.452 196.74	1492	1416	425.852	middle	2
192.95 207.728 148.252	388	487	141.317	middle	1
211.188 226.975 110.179	347	688	212.156	middle	1
198.875 207.91 144.673	427	686	206.704	middle	1
124.773 130.78 212.372	1990	1653	507.377	middle	3
232.485 174.043 258.115	423	465	136.235	middle	1
